######################## Logger for Validator: v3 ######################## 

[INFO]: 2021-10-18 03:47:34   		 [ Validator: v3 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:34   		 [ Validator: v3 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 03:47:34   		 [ Validator: v3created Votemsg :  ]
[INFO]: 2021-10-18 03:47:34   		 [ Validator: v3 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 03:47:36   		 [ Validator: v3 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 03:47:36   		 [ Validator: v3 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:36   		 [ Validator: v3 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 03:47:36   		 [ Validator: v3 sending Proposal message to every other validators ]
[INFO]: 2021-10-18 03:47:36   		 [ Validator: v3created Votemsg :  ]
[INFO]: 2021-10-18 03:47:36   		 [ Validator: v3 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-18 03:47:36   		 [ Validator: v3 adding commit for transaction: ['c1 - 0'] ]
[INFO]: 2021-10-18 03:47:36   		 [ Validator: v3 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:37   		 [ Validator: v3 Client c1 Authentication Successful ]
######################## Logger for Validator: v3 ######################## 

[INFO]: 2021-10-18 03:47:37   		 [ Validator: v3 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:37   		 [ Validator: v3 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 03:47:37   		 [ Validator: v3created Votemsg :  ]
[INFO]: 2021-10-18 03:47:37   		 [ Validator: v3 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 03:47:39   		 [ Validator: v3 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 03:47:39   		 [ Validator: v3 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:39   		 [ Validator: v3 adding transaction: c1 - 1 ]
[INFO]: 2021-10-18 03:47:39   		 [ Validator: v3 sending Proposal message to every other validators ]
[INFO]: 2021-10-18 03:47:39   		 [ Validator: v3created Votemsg :  ]
[INFO]: 2021-10-18 03:47:39   		 [ Validator: v3 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-18 03:47:39   		 [ Validator: v3 adding commit for transaction: ['c1 - 0'] ]
[INFO]: 2021-10-18 03:47:41   		 [ Validator: v3 Client c1 Authentication Successful ]
